numero_experimento;dataset;estructura_de_datos;clave;cantidad_consultas;tiempo_ejecucion_us
1;auspol2019;STL_UnorderedMap;user_id;10000;683
1;auspol2019;STL_UnorderedMap;user_id;20000;1238
1;auspol2019;STL_UnorderedMap;user_id;30000;1574
1;auspol2019;STL_UnorderedMap;user_id;40000;2162
1;auspol2019;STL_UnorderedMap;user_id;50000;2841
1;auspol2019;STL_UnorderedMap;user_id;60000;3150
1;auspol2019;STL_UnorderedMap;user_id;70000;3375
1;auspol2019;STL_UnorderedMap;user_id;80000;3608
1;auspol2019;STL_UnorderedMap;user_id;90000;3823
1;auspol2019;STL_UnorderedMap;user_id;100000;4035
1;auspol2019;STL_UnorderedMap;user_id;110000;4385
1;auspol2019;STL_UnorderedMap;user_id;120000;4681
1;auspol2019;STL_UnorderedMap;user_id;130000;4976
1;auspol2019;STL_UnorderedMap;user_id;130449;4994
1;auspol2019;STL_UnorderedMap;user_screen_name;10000;946
1;auspol2019;STL_UnorderedMap;user_screen_name;20000;1844
1;auspol2019;STL_UnorderedMap;user_screen_name;30000;2478
1;auspol2019;STL_UnorderedMap;user_screen_name;40000;3121
1;auspol2019;STL_UnorderedMap;user_screen_name;50000;3983
1;auspol2019;STL_UnorderedMap;user_screen_name;60000;4567
1;auspol2019;STL_UnorderedMap;user_screen_name;70000;5033
1;auspol2019;STL_UnorderedMap;user_screen_name;80000;5508
1;auspol2019;STL_UnorderedMap;user_screen_name;90000;5940
1;auspol2019;STL_UnorderedMap;user_screen_name;100000;6393
1;auspol2019;STL_UnorderedMap;user_screen_name;110000;7034
1;auspol2019;STL_UnorderedMap;user_screen_name;120000;7607
1;auspol2019;STL_UnorderedMap;user_screen_name;130000;8161
1;auspol2019;STL_UnorderedMap;user_screen_name;130449;8191
1;auspol2019;OpenHash;user_id;10000;366
1;auspol2019;OpenHash;user_id;20000;701
1;auspol2019;OpenHash;user_id;30000;958
1;auspol2019;OpenHash;user_id;40000;1216
1;auspol2019;OpenHash;user_id;50000;1448
1;auspol2019;OpenHash;user_id;60000;1669
1;auspol2019;OpenHash;user_id;70000;1821
1;auspol2019;OpenHash;user_id;80000;1966
1;auspol2019;OpenHash;user_id;90000;2081
1;auspol2019;OpenHash;user_id;100000;2203
1;auspol2019;OpenHash;user_id;110000;2454
1;auspol2019;OpenHash;user_id;120000;2660
1;auspol2019;OpenHash;user_id;130000;2829
1;auspol2019;OpenHash;user_id;130449;2841
1;auspol2019;OpenHash;user_screen_name;10000;1279
1;auspol2019;OpenHash;user_screen_name;20000;2598
1;auspol2019;OpenHash;user_screen_name;30000;3812
1;auspol2019;OpenHash;user_screen_name;40000;5007
1;auspol2019;OpenHash;user_screen_name;50000;6161
1;auspol2019;OpenHash;user_screen_name;60000;7329
1;auspol2019;OpenHash;user_screen_name;70000;8366
1;auspol2019;OpenHash;user_screen_name;80000;9402
1;auspol2019;OpenHash;user_screen_name;90000;10388
1;auspol2019;OpenHash;user_screen_name;100000;11362
1;auspol2019;OpenHash;user_screen_name;110000;12639
1;auspol2019;OpenHash;user_screen_name;120000;13779
1;auspol2019;OpenHash;user_screen_name;130000;14848
1;auspol2019;OpenHash;user_screen_name;130449;14907
1;auspol2019;ClosedHash_Linear;user_id;10000;90
1;auspol2019;ClosedHash_Linear;user_id;20000;203
1;auspol2019;ClosedHash_Linear;user_id;30000;313
1;auspol2019;ClosedHash_Linear;user_id;40000;420
1;auspol2019;ClosedHash_Linear;user_id;50000;524
1;auspol2019;ClosedHash_Linear;user_id;60000;623
1;auspol2019;ClosedHash_Linear;user_id;70000;709
1;auspol2019;ClosedHash_Linear;user_id;80000;789
1;auspol2019;ClosedHash_Linear;user_id;90000;869
1;auspol2019;ClosedHash_Linear;user_id;100000;982
1;auspol2019;ClosedHash_Linear;user_id;110000;1135
1;auspol2019;ClosedHash_Linear;user_id;120000;1278
1;auspol2019;ClosedHash_Linear;user_id;130000;1418
1;auspol2019;ClosedHash_Linear;user_id;130449;1428
1;auspol2019;ClosedHash_Linear;user_screen_name;10000;894
1;auspol2019;ClosedHash_Linear;user_screen_name;20000;1837
1;auspol2019;ClosedHash_Linear;user_screen_name;30000;2779
1;auspol2019;ClosedHash_Linear;user_screen_name;40000;3739
1;auspol2019;ClosedHash_Linear;user_screen_name;50000;4701
1;auspol2019;ClosedHash_Linear;user_screen_name;60000;5662
1;auspol2019;ClosedHash_Linear;user_screen_name;70000;6568
1;auspol2019;ClosedHash_Linear;user_screen_name;80000;7478
1;auspol2019;ClosedHash_Linear;user_screen_name;90000;8397
1;auspol2019;ClosedHash_Linear;user_screen_name;100000;9406
1;auspol2019;ClosedHash_Linear;user_screen_name;110000;10455
1;auspol2019;ClosedHash_Linear;user_screen_name;120000;11425
1;auspol2019;ClosedHash_Linear;user_screen_name;130000;12355
1;auspol2019;ClosedHash_Linear;user_screen_name;130449;12403
1;auspol2019;ClosedHash_Quad;user_id;10000;90
1;auspol2019;ClosedHash_Quad;user_id;20000;202
1;auspol2019;ClosedHash_Quad;user_id;30000;313
1;auspol2019;ClosedHash_Quad;user_id;40000;423
1;auspol2019;ClosedHash_Quad;user_id;50000;534
1;auspol2019;ClosedHash_Quad;user_id;60000;636
1;auspol2019;ClosedHash_Quad;user_id;70000;722
1;auspol2019;ClosedHash_Quad;user_id;80000;803
1;auspol2019;ClosedHash_Quad;user_id;90000;883
1;auspol2019;ClosedHash_Quad;user_id;100000;958
1;auspol2019;ClosedHash_Quad;user_id;110000;1072
1;auspol2019;ClosedHash_Quad;user_id;120000;1170
1;auspol2019;ClosedHash_Quad;user_id;130000;1261
1;auspol2019;ClosedHash_Quad;user_id;130449;1267
1;auspol2019;ClosedHash_Quad;user_screen_name;10000;856
1;auspol2019;ClosedHash_Quad;user_screen_name;20000;1760
1;auspol2019;ClosedHash_Quad;user_screen_name;30000;2664
1;auspol2019;ClosedHash_Quad;user_screen_name;40000;3577
1;auspol2019;ClosedHash_Quad;user_screen_name;50000;4493
1;auspol2019;ClosedHash_Quad;user_screen_name;60000;5405
1;auspol2019;ClosedHash_Quad;user_screen_name;70000;6291
1;auspol2019;ClosedHash_Quad;user_screen_name;80000;7156
1;auspol2019;ClosedHash_Quad;user_screen_name;90000;8027
1;auspol2019;ClosedHash_Quad;user_screen_name;100000;8888
1;auspol2019;ClosedHash_Quad;user_screen_name;110000;9820
1;auspol2019;ClosedHash_Quad;user_screen_name;120000;10735
1;auspol2019;ClosedHash_Quad;user_screen_name;130000;11624
1;auspol2019;ClosedHash_Quad;user_screen_name;130449;11667
1;auspol2019;ClosedHash_Double;user_id;10000;92
1;auspol2019;ClosedHash_Double;user_id;20000;210
1;auspol2019;ClosedHash_Double;user_id;30000;327
1;auspol2019;ClosedHash_Double;user_id;40000;444
1;auspol2019;ClosedHash_Double;user_id;50000;559
1;auspol2019;ClosedHash_Double;user_id;60000;669
1;auspol2019;ClosedHash_Double;user_id;70000;765
1;auspol2019;ClosedHash_Double;user_id;80000;851
1;auspol2019;ClosedHash_Double;user_id;90000;937
1;auspol2019;ClosedHash_Double;user_id;100000;1019
1;auspol2019;ClosedHash_Double;user_id;110000;1143
1;auspol2019;ClosedHash_Double;user_id;120000;1250
1;auspol2019;ClosedHash_Double;user_id;130000;1355
1;auspol2019;ClosedHash_Double;user_id;130449;1362
1;auspol2019;ClosedHash_Double;user_screen_name;10000;889
1;auspol2019;ClosedHash_Double;user_screen_name;20000;1814
1;auspol2019;ClosedHash_Double;user_screen_name;30000;2775
1;auspol2019;ClosedHash_Double;user_screen_name;40000;3747
1;auspol2019;ClosedHash_Double;user_screen_name;50000;4713
1;auspol2019;ClosedHash_Double;user_screen_name;60000;5704
1;auspol2019;ClosedHash_Double;user_screen_name;70000;6652
1;auspol2019;ClosedHash_Double;user_screen_name;80000;7573
1;auspol2019;ClosedHash_Double;user_screen_name;90000;8501
1;auspol2019;ClosedHash_Double;user_screen_name;100000;9406
1;auspol2019;ClosedHash_Double;user_screen_name;110000;10401
1;auspol2019;ClosedHash_Double;user_screen_name;120000;11366
1;auspol2019;ClosedHash_Double;user_screen_name;130000;12305
1;auspol2019;ClosedHash_Double;user_screen_name;130449;12355
2;auspol2019;STL_UnorderedMap;user_id;10000;733
2;auspol2019;STL_UnorderedMap;user_id;20000;1283
2;auspol2019;STL_UnorderedMap;user_id;30000;1618
2;auspol2019;STL_UnorderedMap;user_id;40000;2190
2;auspol2019;STL_UnorderedMap;user_id;50000;2764
2;auspol2019;STL_UnorderedMap;user_id;60000;3073
2;auspol2019;STL_UnorderedMap;user_id;70000;3300
2;auspol2019;STL_UnorderedMap;user_id;80000;3541
2;auspol2019;STL_UnorderedMap;user_id;90000;3758
2;auspol2019;STL_UnorderedMap;user_id;100000;3975
2;auspol2019;STL_UnorderedMap;user_id;110000;4324
2;auspol2019;STL_UnorderedMap;user_id;120000;4618
2;auspol2019;STL_UnorderedMap;user_id;130000;4911
2;auspol2019;STL_UnorderedMap;user_id;130449;4929
2;auspol2019;STL_UnorderedMap;user_screen_name;10000;958
2;auspol2019;STL_UnorderedMap;user_screen_name;20000;1842
2;auspol2019;STL_UnorderedMap;user_screen_name;30000;2564
2;auspol2019;STL_UnorderedMap;user_screen_name;40000;3206
2;auspol2019;STL_UnorderedMap;user_screen_name;50000;4074
2;auspol2019;STL_UnorderedMap;user_screen_name;60000;4652
2;auspol2019;STL_UnorderedMap;user_screen_name;70000;5147
2;auspol2019;STL_UnorderedMap;user_screen_name;80000;5614
2;auspol2019;STL_UnorderedMap;user_screen_name;90000;6048
2;auspol2019;STL_UnorderedMap;user_screen_name;100000;6497
2;auspol2019;STL_UnorderedMap;user_screen_name;110000;7171
2;auspol2019;STL_UnorderedMap;user_screen_name;120000;7742
2;auspol2019;STL_UnorderedMap;user_screen_name;130000;8293
2;auspol2019;STL_UnorderedMap;user_screen_name;130449;8324
2;auspol2019;OpenHash;user_id;10000;405
2;auspol2019;OpenHash;user_id;20000;813
2;auspol2019;OpenHash;user_id;30000;1133
2;auspol2019;OpenHash;user_id;40000;1457
2;auspol2019;OpenHash;user_id;50000;1756
2;auspol2019;OpenHash;user_id;60000;2055
2;auspol2019;OpenHash;user_id;70000;2272
2;auspol2019;OpenHash;user_id;80000;2457
2;auspol2019;OpenHash;user_id;90000;2610
2;auspol2019;OpenHash;user_id;100000;2767
2;auspol2019;OpenHash;user_id;110000;3096
2;auspol2019;OpenHash;user_id;120000;3371
2;auspol2019;OpenHash;user_id;130000;3575
2;auspol2019;OpenHash;user_id;130449;3590
2;auspol2019;OpenHash;user_screen_name;10000;1283
2;auspol2019;OpenHash;user_screen_name;20000;2453
2;auspol2019;OpenHash;user_screen_name;30000;3579
